U,I,raio,e/m (a calcular)
180,0.89,0.05,
200,1.15,0.05,
210,1.2,0.05,
220,1.24,0.05,
230,1.29,0.05,
240,1.3,0.05,
250,1.33,0.05,
260,1.39,0.05,
270,1.42,0.05,
280,1.45,0.05,
290,1.5,0.05,
300,1.53,0.05,
310,1.55,0.05,
320,1.58,0.05,
333,1.63,0.05,
